Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
23,-0.052898604,6.929821014,2.728589535,-17.32381122,-83.17232224,-72.18588636,-12.403314,16.754278,24.360132,15.022425,27.463852,-15.000033,-13.984969,-20.011782,-26.131905,21.906689,20.79336,6.2711864,-1.3902551,-3.5759072,-1.7248437,8.525545,26.407284,-24.734615,69.45589,17.158749,11.438273,1.7250104,8.062541,-18.811045,7.7744837,75.33408,-53.308136,3.7299657,11.546164
24,-0.052953303,6.928342819,2.731018305,-17.32526479,-83.16716684,-72.17744367,-12.405085,16.740078,24.346855,15.007805,27.488043,-15.000033,-13.99931,-20.012152,-26.103836,21.912481,20.79385,6.270157,-1.3929849,-3.5821033,-1.7285911,8.528845,26.408224,-24.733122,69.4502,17.161392,11.442449,1.72036,8.062818,-18.81005,7.7593575,75.33536,-53.322277,3.728933,11.543412
25,-0.0521622,6.927302361,2.733319283,-17.34380354,-83.16527096,-72.15979224,-12.408067,16.73991,24.350615,15.011322,27.478127,-15.000033,-13.998994,-19.996931,-26.078112,21.89877,20.8028,6.2898126,-1.3976954,-3.5809968,-1.7324141,8.530928,26.408445,-24.732634,69.45041,17.161045,11.442132,1.7210194,8.064414,-18.809668,7.752966,75.33732,-53.33793,3.725853,11.538962
26,-0.050376181,6.928525925,2.732601643,-17.36337114,-83.16377862,-72.14720009,-12.411209,16.74925,24.365772,15.021076,27.450514,-15.000033,-13.988254,-19.96696,-26.052713,21.863663,20.822002,6.322949,-1.4002029,-3.5733194,-1.7377237,8.536462,26.408762,-24.731462,69.448555,17.16119,11.439773,1.7253631,8.068964,-18.808764,7.736081,75.340225,-53.370716,3.719999,11.5311985
27,-0.051155865,6.92893362,2.734582424,-17.38215814,-83.16298475,-72.13529295,-12.416809,16.758831,24.379496,15.036804,27.417006,-15.000033,-13.9792385,-19.936792,-26.024103,21.832518,20.837141,6.3569403,-1.3989786,-3.565533,-1.7403355,8.538834,26.409101,-24.731586,69.44623,17.162348,11.43697,1.7295866,8.074419,-18.807253,7.7166986,75.34177,-53.400856,3.7143772,11.524836
28,-0.052233011,6.926027775,2.737957716,-17.38842981,-83.16238256,-72.14218253,-12.432517,16.77482,24.376171,15.067514,27.385698,-15.000033,-13.971704,-19.900064,-25.996473,21.800957,20.84873,6.376671,-1.3881257,-3.5528808,-1.7384826,8.536216,26.409609,-24.735874,69.44018,17.16696,11.436796,1.7314829,8.086646,-18.805473,7.693267,75.33444,-53.42754,3.7119007,11.521162
29,-0.053018332,6.928274632,2.739004135,-17.36173299,-83.16228818,-72.17363653,-12.439224,16.775398,24.360947,15.072637,27.381353,-15.000033,-13.975342,-19.87248,-25.959915,21.784132,20.848309,6.378841,-1.3703687,-3.547469,-1.7354788,8.525682,26.410196,-24.747532,69.43776,17.172043,11.4385395,1.7284098,8.098662,-18.804007,7.6857553,75.32614,-53.430008,3.7137492,11.523966
30,-0.053269129,6.927975178,2.739823103,-17.30591283,-83.16324723,-72.23419871,-12.444126,16.770725,24.337084,15.070236,27.387909,-15.000033,-13.984757,-19.846268,-25.918081,21.773687,20.841072,6.370473,-1.3521546,-3.5445015,-1.7341212,8.515457,26.410576,-24.760376,69.436516,17.177261,11.441481,1.7230282,8.103052,-18.803762,7.696716,75.32626,-53.4153,3.71898,11.530026
31,-0.052406222,6.930182934,2.738164186,-17.26534289,-83.16332194,-72.27827884,-12.44927,16.763348,24.307997,15.065959,27.397516,-15.000033,-13.995014,-19.821524,-25.875828,21.765627,20.831985,6.359091,-1.3375118,-3.5413203,-1.7333034,8.508901,26.410715,-24.768642,69.43265,17.180502,11.445144,1.7176192,8.104241,-18.80421,7.7131095,75.3286,-53.39675,3.723529,11.536299
32,-0.047929067,6.930428505,2.735265255,-17.2450018,-83.16189116,-72.30102814,-12.456649,16.75506,24.27769,15.063071,27.40413,-15.000033,-14.003291,-19.798805,-25.83767,21.757105,20.826307,6.3519764,-1.3310533,-3.5389187,-1.7381625,8.503399,26.41049,-24.773443,69.43571,17.175508,11.447319,1.7140025,8.103612,-18.80509,7.7307124,75.335724,-53.380993,3.7251945,11.538669
33,-0.048113044,6.929792404,2.736620188,-17.2637112,-83.15882606,-72.28553052,-12.46367,16.744633,24.247515,15.058056,27.407938,-15.000033,-14.007112,-19.778238,-25.804821,21.746367,20.825296,6.350844,-1.3314499,-3.5366657,-1.7448393,8.5007515,26.410301,-24.771103,69.43873,17.160685,11.449758,1.7143726,8.105545,-18.805336,7.7345476,75.341446,-53.3797,3.721246,11.536396
34,-0.046171516,6.928952694,2.73659873,-17.31269026,-83.15399174,-72.23912652,-12.474785,16.734327,24.213772,15.057706,27.40826,-15.000033,-14.009365,-19.758722,-25.775234,21.736004,20.825846,6.3517714,-1.3387089,-3.5343566,-1.7520485,8.500001,26.409706,-24.758768,69.442406,17.141739,11.451853,1.7167783,8.109505,-18.805649,7.733641,75.34377,-53.385963,3.7142427,11.531172
35,-0.049396209,6.93068409,2.73914957,-17.3666345,-83.1487254,-72.18620228,-12.487948,16.722233,24.17757,15.061127,27.405867,-15.000033,-14.012729,-19.742743,-25.746584,21.729471,20.826141,6.354364,-1.3454949,-3.533194,-1.760207,8.499056,26.409254,-24.748869,69.44662,17.121712,11.453783,1.7191283,8.1138,-18.805565,7.7276816,75.34699,-53.393394,3.707284,11.524159
36,-0.051616143,6.929139137,2.741829634,-17.40277401,-83.14415533,-72.15080583,-12.494472,16.705723,24.141296,15.051014,27.41142,-15.000033,-14.01452,-19.728014,-25.719566,21.71917,20.830568,6.357739,-1.3500676,-3.5327315,-1.7659584,8.498868,26.408894,-24.74037,69.44837,17.113047,11.454059,1.7189602,8.117082,-18.805313,7.720807,75.34848,-53.397526,3.7042236,11.516774
37,-0.05406379,6.928299427,2.743985176,-17.42164863,-83.13909722,-72.13136037,-12.508634,16.690552,24.099812,15.053422,27.410164,-15.000033,-14.019901,-19.715208,-25.692724,21.713184,20.83448,6.3623486,-1.3536019,-3.5307508,-1.7686831,8.502598,26.408447,-24.730377,69.442726,17.12171,11.451119,1.7141596,8.123058,-18.804766,7.710175,75.342606,-53.399525,3.7059,11.506922
38,-0.053505152,6.928866386,2.743134022,-17.43319272,-83.13518583,-72.11770614,-12.517836,16.671465,24.058237,15.04848,27.411917,-15.000033,-14.023505,-19.704138,-25.666058,21.706293,20.840591,6.368906,-1.356331,-3.5309231,-1.7733387,8.504881,26.408257,-24.72758,69.441986,17.132181,11.446538,1.7076405,8.124362,-18.804499,7.7056866,75.34264,-53.391197,3.710915,11.496171
39,-0.051027078,6.931213856,2.743743658,-17.43445908,-83.1295084,-72.11412055,-12.527995,16.650024,24.013866,15.03914,27.418722,-15.000033,-14.029467,-19.696213,-25.642784,21.699903,20.848515,6.375141,-1.3572866,-3.530343,-1.7775292,8.509858,26.407387,-24.721006,69.43603,17.152582,11.441441,1.6993908,8.12804,-18.802977,7.6921144,75.340164,-53.388,3.7168486,11.484112
40,-0.051293634,6.929325104,2.746006012,-17.41924693,-83.1260418,-72.12488085,-12.5345955,16.627453,23.970041,15.027604,27.431385,-15.000033,-14.036647,-19.692677,-25.622292,21.69832,20.85524,6.378941,-1.3581307,-3.5333815,-1.780042,8.512816,26.406939,-24.718527,69.432106,17.166649,11.440959,1.6955884,8.129598,-18.802158,7.684246,75.337296,-53.39149,3.7214944,11.478975
41,-0.049374677,6.927293777,2.746874571,-17.39015636,-83.12348752,-72.14829656,-12.540377,16.603437,23.920815,15.014408,27.454437,-15.000033,-14.046452,-19.694221,-25.606516,21.701164,20.86158,6.3784337,-1.3591101,-3.5382779,-1.7826089,8.515946,26.40647,-24.717041,69.429085,17.174557,11.445535,1.6950067,8.129819,-18.801273,7.6786313,75.33565,-53.405014,3.722503,11.481172
42,-0.046239626,6.92864275,2.746796131,-17.3403489,-83.11970398,-72.1871413,-12.541924,16.570457,23.869196,14.986934,27.491564,-15.000033,-14.063196,-19.705816,-25.592484,21.713139,20.865751,6.3759704,-1.3610091,-3.54928,-1.786531,8.52195,26.405813,-24.714842,69.421814,17.183783,11.45596,1.6973044,8.128552,-18.799908,7.6693015,75.33398,-53.433456,3.7226527,11.489357
43,-0.049053121,6.929080009,2.748125315,-17.29198754,-83.11784738,-72.22575325,-12.538506,16.53916,23.824072,14.956527,27.529125,-15.000033,-14.076732,-19.71762,-25.581163,21.723213,20.87138,6.373814,-1.3609608,-3.5602465,-1.7872301,8.52608,26.405361,-24.714102,69.41654,17.191618,11.465535,1.7015028,8.126376,-18.79889,7.6624627,75.33183,-53.45826,3.7229345,11.498988
44,-0.050860446,6.927421093,2.748655319,-17.23832436,-83.11856915,-72.27068546,-12.534607,16.513979,23.793736,14.937666,27.550478,-15.000033,-14.088555,-19.729504,-25.569704,21.736498,20.87468,6.3749776,-1.3584068,-3.5701668,-1.7840304,8.530536,26.404818,-24.715984,69.409355,17.198635,11.47358,1.7074229,8.124951,-18.797447,7.657976,75.32645,-53.47245,3.7243085,11.509091
45,-0.051166657,6.926653385,2.750285387,-17.20448618,-83.12264554,-72.3015225,-12.528376,16.502949,23.782297,14.931728,27.551403,-15.000033,-14.089096,-19.731552,-25.561964,21.738747,20.882961,6.3808994,-1.3526804,-3.5739632,-1.7753762,8.531662,26.404564,-24.720741,69.40576,17.2038,11.476288,1.7141198,8.123972,-18.796715,7.6619983,75.317986,-53.465675,3.7287643,11.517871
46,-0.051602878,6.923782825,2.751171112,-17.1578112,-83.13112932,-72.34592797,-12.513488,16.493967,23.788506,14.924569,27.54347,-15.000033,-14.085584,-19.73469,-25.552824,21.741486,20.89139,6.390981,-1.3441384,-3.5799558,-1.7653071,8.529388,26.404457,-24.736403,69.40809,17.19809,11.478152,1.7250268,8.1243,-18.79661,7.6836276,75.30609,-53.43276,3.738658,11.529956
47,-0.046554729,6.922594547,2.748915672,-17.12044167,-83.13868575,-72.38323959,-12.502122,16.491152,23.797607,14.924418,27.52967,-15.000033,-14.079618,-19.735064,-25.54949,21.74106,20.89987,6.4001856,-1.3383212,-3.5819392,-1.7559416,8.529732,26.404394,-24.750433,69.409294,17.196768,11.478649,1.7352471,8.122913,-18.797272,7.706396,75.297035,-53.40284,3.7459915,11.540006
48,-0.045368448,6.924527168,2.749952555,-17.1007031,-83.14185366,-72.40421406,-12.496951,16.488514,23.800219,14.923833,27.52053,-15.000033,-14.075689,-19.737066,-25.553652,21.741514,20.904564,6.4056177,-1.3378086,-3.5826726,-1.7512583,8.532995,26.404287,-24.758831,69.41132,17.203812,11.479265,1.7444474,8.120335,-18.79782,7.719803,75.29342,-53.389023,3.748312,11.545995
49,-0.048995476,6.925143242,2.752517462,-17.09336243,-83.13952229,-72.41171493,-12.497012,16.48387,23.79225,14.916793,27.52182,-15.000033,-14.073731,-19.741436,-25.568165,21.741508,20.905096,6.4054093,-1.3467435,-3.5823183,-1.7596415,8.541131,26.403349,-24.76924,69.4184,17.213364,11.48203,1.7540478,8.113712,-18.798716,7.736356,75.30507,-53.392147,3.7440999,11.54706
50,-0.048781279,6.925883293,2.750807524,-17.0964185,-83.13361094,-72.41011138,-12.5051985,16.481316,23.778366,14.915199,27.523722,-15.000033,-14.073892,-19.747637,-25.590109,21.744179,20.900827,6.401809,-1.3581843,-3.5802658,-1.7672356,8.549766,26.402525,-24.77031,69.42294,17.235395,11.48468,1.7630541,8.108293,-18.7985,7.7346354,75.31661,-53.418514,3.733633,11.544897
51,-0.050362777,6.922893047,2.753170729,-17.10796479,-83.12701832,-72.40105919,-12.512724,16.480255,23.767708,14.912657,27.52501,-15.000033,-14.073698,-19.753656,-25.61435,21.74567,20.89602,6.3969483,-1.3695755,-3.5780916,-1.7723141,8.557603,26.40182,-24.770916,69.42712,17.262917,11.486551,1.7708787,8.105184,-18.798042,7.730084,75.32261,-53.445126,3.7248132,11.540105
52,-0.051174626,6.925532818,2.754949808,-17.11654855,-83.1208379,-72.39603541,-12.5207205,16.483358,23.763779,14.914504,27.51912,-15.000033,-14.072437,-19.75777,-25.6394,21.745106,20.892963,6.3926663,-1.3788711,-3.5728803,-1.77662,8.571184,26.400116,-24.773829,69.42425,17.300968,11.486708,1.7764304,8.099236,-18.796513,7.7197,75.33108,-53.469227,3.7174926,11.532342
53,-0.052184157,6.92466259,2.756522894,-17.11025644,-83.11768071,-72.40544008,-12.523447,16.490095,23.774294,14.918225,27.50344,-15.000033,-14.06994,-19.760735,-25.661953,21.744106,20.890985,6.3901415,-1.387027,-3.5691133,-1.7720659,8.580121,26.399298,-24.780296,69.42314,17.346088,11.481142,1.7774783,8.098498,-18.795698,7.7193494,75.32078,-53.46766,3.7186904,11.520974
54,-0.053247549,6.923707008,2.758970261,-17.10859342,-83.11455459,-72.41414504,-12.526348,16.503363,23.791475,14.925817,27.480509,-15.000033,-14.062901,-19.758617,-25.68897,21.734905,20.893051,6.3876305,-1.3899622,-3.561418,-1.7721009,8.588109,26.397413,-24.804497,69.42579,17.394688,11.473226,1.7766771,8.104877,-18.793825,7.726309,75.3071,-53.446342,3.727004,11.503354
55,-0.051573642,6.925624847,2.759354115,-17.09578779,-83.11258159,-72.430729,-12.529837,16.515636,23.81291,14.93885,27.45365,-15.000033,-14.061855,-19.761211,-25.709356,21.736158,20.890087,6.3852296,-1.3981404,-3.5579236,-1.764028,8.596712,26.396538,-24.8138,69.42421,17.446548,11.46493,1.7732543,8.1040945,-18.79308,7.7303658,75.29054,-53.43232,3.7321723,11.49016
56,-0.054888885,6.924974918,2.75977397,-17.07195634,-83.11183578,-72.45881979,-12.530898,16.5276,23.832579,14.947715,27.433546,-15.000033,-14.061013,-19.76113,-25.724293,21.734394,20.889885,6.381468,-1.4035338,-3.5535452,-1.7597862,8.605142,26.396038,-24.822357,69.42331,17.489481,11.460858,1.7691786,8.1032295,-18.792732,7.73388,75.28001,-53.423286,3.7375002,11.483207
57,-0.051846988,6.928639889,2.755590916,-17.02754032,-83.1130345,-72.51028911,-12.534547,16.54498,23.85,14.965517,27.412807,-15.000033,-14.061044,-19.75563,-25.732393,21.730368,20.891659,6.3744054,-1.4035275,-3.5451193,-1.7631949,8.615037,26.394457,-24.839941,69.42284,17.518774,11.464917,1.7629954,8.097985,-18.791746,7.735661,75.28345,-53.426376,3.7406046,11.489592
58,-0.053392094,6.927421093,2.755515814,-16.96075164,-83.11586563,-72.58213687,-12.533993,16.561604,23.869747,14.976762,27.397886,-15.000033,-14.062874,-19.749004,-25.734095,21.725624,20.895346,6.365492,-1.3993559,-3.5376127,-1.7654856,8.615244,26.390879,-24.85862,69.42993,17.537922,11.4732065,1.7562933,8.084114,-18.789944,7.7232966,75.29895,-53.44653,3.739413,11.504194
59,-0.05258359,6.927598953,2.754496574,-16.89413719,-83.11860842,-72.65190297,-12.536511,16.575642,23.886246,14.993685,27.383598,-15.000033,-14.069048,-19.746096,-25.730085,21.728352,20.894848,6.358109,-1.3960781,-3.5329854,-1.7647489,8.615403,26.387451,-24.866928,69.43373,17.556215,11.481596,1.7495492,8.074512,-18.788311,7.7097745,75.306755,-53.469963,3.737145,11.52024
60,-0.051517908,6.92890358,2.755383253,-16.85851735,-83.11898643,-72.68689855,-12.5341,16.580606,23.897354,14.994138,27.38396,-15.000033,-14.074147,-19.746284,-25.724464,21.729282,20.894545,6.355613,-1.3941035,-3.5326116,-1.7645496,8.615036,26.385899,-24.870043,69.43632,17.569685,11.486636,1.745944,8.070743,-18.787601,7.703613,75.30891,-53.485146,3.7350295,11.528218
